CODIGO_TRK,CODIGO_SAP
6881,VPTU0881
6880,VPTU0880
6879,VPTU0879
6875,VPTU0875
6874,VPTU0874
6873,VPTU0873
6872,VPTU0872
6871,VPTU0871
6869,VPTU0869
6868,VPTU0868
6867,VPTU0867
6866,VPTU0866
6865,VPTU0865
6864,VPTU0864
6863,VPTU0863
6860,VPTU0860
6859,VPTU0859
6858,VPTU0858
6857,VPTU0857
6855,VPTU0855
6854,VPTU0854
6852,VPTU0852
6851,VPTU0851
6850,VPTU0850
6848,VPTU0848
6845,VPTU0845
6843,VPTU0843
6842,VPTU0842
6841,VPTU0841
6840,VPTU0840
6839,VPTU0839
6838,VPTU0838
6837,VPTU0837
6835,VPTU0835
6834,VPTU0834
6833,VPTU0833
6832,VPTU0832
6831,VPTU0831
6830,VPTU0830
6828,VPTU0828
6827,VPTU0827
6826,VPTU0826
6825,VPTU0825
6823,VPTU0823
6822,VPTU0822
6820,VPTU0820
6819,VPTU0819
6818,VPTU0818
6817,VPTU0817
6816,VPTU0816
6815,VPTU0815
6814,VPTU0814
6813,VPTU0813
6809,VPTU0809
6808,VPTU0808
6807,VPTU0807
6806,VPTU0806
6804,VPTU0804
6803,VPTU0803
6802,VPTU0802
6801,VPTU0801
6800,VPTU0800
6799,VPTU0799
6798,VPTU0798
6797,VPTU0797
6796,VPTU0796
6795,VPTU0795
6794,VPTU0794
6793,VPTU0793
6792,VPTU0792
6791,VPTU0791
6790,VPTU0790
6789,VPTU0789
6788,VPTU0788
6787,VPTU0787
6781,VPTU0781
6776,VPTU0776
6775,VPTU0775
6774,VPTU0774
6773,VPTU0773
6772,VPTU0772
6771,VPTU0771
6770,VPTU0770
6769,VPTU0769
6768,VPTU0768
6767,VPTU0767
6766,VPTU0766
6765,VPTU0765
6764,VPTU0764
6763,VPTU0763
6762,VPTU0762
6761,VPTU0761
6760,VPTU0760
6759,VPTU0759
6758,VPTU0758
6754,VPTU0754
6753,VPTU0753
6752,VPTU0752
6751,VPTU0751
6750,VPTU0750
6749,VPTU0749
6748,VPTU0748
6747,VPTU0747
6743,VPTU0743
6742,VPTU0742
6721,VPTU0721
6713,VPTU0713
6710,VPTU0710
6705,VPTU0705
6704,VPTU0704
6702,VPTU0702
6701,VPTU0701
6700,VPTU0700
6696,VPTU0696
6693,VPTU0693
6691,VPTU0691
6688,VPTU0688
6687,VPTU0687
6686,VPTU0686
6685,VPTU0685
6684,VPTU0684
6683,VPTU0683
6682,VPTU0682
6681,VPTU0681
6680,VPTU0680
6679,VPTU0679
6677,VPTU0677
6676,VPTU0676
6675,VPTU0675
6672,VPTU0672
6648,VPTU0648
6647,VPTU0647
6646,VPTU0646
6645,VPTU0645
6644,VPTU0644
6641,VPTU0641
6639,VPTU0639
6638,VPTU0638
6637,VPTU0637
6636,VPTU0636
6635,VPTU0635
6634,VPTU0634
6633,VPTU0633
6632,VPTU0632
